input: ../data/euclid/euclid15_14.phylip, k: 15, totaltime [s]: 0.000229, #improving moves: 2, #neighborhood scans: 3, time/iter [ms]: 0.061000, ave size neighbor: 288.000000, init. obj: 245.283004, obj: 244.126062, impr. rate [%]: 0.471676
input: ../data/euclid/euclid15_15.phylip, k: 15, totaltime [s]: 0.000345, #improving moves: 4, #neighborhood scans: 5, time/iter [ms]: 0.059600, ave size neighbor: 283.200000, init. obj: 355.562882, obj: 301.048300, impr. rate [%]: 15.331910
input: ../data/euclid/euclid20_1.phylip, k: 1, totaltime [s]: 0.000161, #improving moves: 9, #neighborhood scans: 10, time/iter [ms]: 0.009000, ave size neighbor: 36.000000, init. obj: 1014.064476, obj: 802.598300, impr. rate [%]: 20.853326
input: ../data/euclid/euclid20_2.phylip, k: 1, totaltime [s]: 0.000199, #improving moves: 12, #neighborhood scans: 13, time/iter [ms]: 0.010077, ave size neighbor: 36.000000, init. obj: 660.711846, obj: 639.683007, impr. rate [%]: 3.182755
input: ../data/euclid/euclid20_3.phylip, k: 1, totaltime [s]: 0.000181, #improving moves: 10, #neighborhood scans: 11, time/iter [ms]: 0.010273, ave size neighbor: 36.000000, init. obj: 842.342586, obj: 587.158557, impr. rate [%]: 30.294566
input: ../data/euclid/euclid20_4.phylip, k: 1, totaltime [s]: 0.000137, #improving moves: 7, #neighborhood scans: 8, time/iter [ms]: 0.008875, ave size neighbor: 36.000000, init. obj: 606.958801, obj: 552.356860, impr. rate [%]: 8.995988
input: ../data/euclid/euclid20_5.phylip, k: 1, totaltime [s]: 0.000138, #improving moves: 5, #neighborhood scans: 6, time/iter [ms]: 0.011667, ave size neighbor: 36.000000, init. obj: 861.846021, obj: 726.456699, impr. rate [%]: 15.709224
input: ../data/euclid/euclid20_6.phylip, k: 1, totaltime [s]: 0.000140, #improving moves: 7, #neighborhood scans: 8, time/iter [ms]: 0.008500, ave size neighbor: 36.000000, init. obj: 652.730796, obj: 611.766870, impr. rate [%]: 6.275777
input: ../data/euclid/euclid20_7.phylip, k: 1, totaltime [s]: 0.000224, #improving moves: 12, #neighborhood scans: 13, time/iter [ms]: 0.010077, ave size neighbor: 36.000000, init. obj: 933.902255, obj: 788.683856, impr. rate [%]: 15.549636
input: ../data/euclid/euclid20_8.phylip, k: 1, totaltime [s]: 0.000170, #improving moves: 8, #neighborhood scans: 9, time/iter [ms]: 0.011000, ave size neighbor: 36.000000, init. obj: 796.448295, obj: 645.424952, impr. rate [%]: 18.962103
