input: ../data/euclid/euclid100_5.phylip, k: 5, totaltime [s]: 0.026521, #improving moves: 62, #neighborhood scans: 63, time/iter [ms]: 0.405508, ave size neighbor: 2412.285714, init. obj: 167899.854843, obj: 125248.646877, impr. rate [%]: 25.402766
input: ../data/euclid/euclid100_6.phylip, k: 5, totaltime [s]: 0.023773, #improving moves: 57, #neighborhood scans: 58, time/iter [ms]: 0.395069, ave size neighbor: 2330.517241, init. obj: 153540.871522, obj: 117220.706482, impr. rate [%]: 23.655047
input: ../data/euclid/euclid100_7.phylip, k: 5, totaltime [s]: 0.029309, #improving moves: 69, #neighborhood scans: 70, time/iter [ms]: 0.406114, ave size neighbor: 2457.428571, init. obj: 164251.023861, obj: 122750.182968, impr. rate [%]: 25.266717
input: ../data/euclid/euclid100_8.phylip, k: 5, totaltime [s]: 0.019975, #improving moves: 48, #neighborhood scans: 49, time/iter [ms]: 0.390551, ave size neighbor: 2328.367347, init. obj: 163437.569510, obj: 125681.543100, impr. rate [%]: 23.101192
input: ../data/euclid/euclid100_9.phylip, k: 5, totaltime [s]: 0.027714, #improving moves: 66, #neighborhood scans: 67, time/iter [ms]: 0.400851, ave size neighbor: 2387.014925, init. obj: 157126.232238, obj: 127029.681668, impr. rate [%]: 19.154377
input: ../data/euclid/euclid100_10.phylip, k: 5, totaltime [s]: 0.023820, #improving moves: 55, #neighborhood scans: 56, time/iter [ms]: 0.409018, ave size neighbor: 2467.821429, init. obj: 154667.803552, obj: 134435.288407, impr. rate [%]: 13.081271
input: ../data/euclid/euclid100_11.phylip, k: 5, totaltime [s]: 0.024770, #improving moves: 59, #neighborhood scans: 60, time/iter [ms]: 0.399083, ave size neighbor: 2393.366667, init. obj: 149039.616244, obj: 127507.178941, impr. rate [%]: 14.447459
input: ../data/euclid/euclid100_12.phylip, k: 5, totaltime [s]: 0.028305, #improving moves: 75, #neighborhood scans: 76, time/iter [ms]: 0.361105, ave size neighbor: 2212.973684, init. obj: 147174.610407, obj: 120699.100891, impr. rate [%]: 17.989183
input: ../data/euclid/euclid100_13.phylip, k: 5, totaltime [s]: 0.031771, #improving moves: 81, #neighborhood scans: 82, time/iter [ms]: 0.377049, ave size neighbor: 2231.780488, init. obj: 154868.092891, obj: 122155.606194, impr. rate [%]: 21.122806
input: ../data/euclid/euclid100_14.phylip, k: 5, totaltime [s]: 0.024613, #improving moves: 62, #neighborhood scans: 63, time/iter [ms]: 0.375429, ave size neighbor: 2242.190476, init. obj: 174702.353401, obj: 125062.676993, impr. rate [%]: 28.413857
input: ../data/euclid/euclid100_15.phylip, k: 5, totaltime [s]: 0.033363, #improving moves: 78, #neighborhood scans: 79, time/iter [ms]: 0.409544, ave size neighbor: 2461.417722, init. obj: 170827.550483, obj: 133334.515707, impr. rate [%]: 21.947885
input: ../data/euclid/euclid100_16.phylip, k: 5, totaltime [s]: 0.022285, #improving moves: 51, #neighborhood scans: 52, time/iter [ms]: 0.412308, ave size neighbor: 2474.076923, init. obj: 174958.595358, obj: 135108.285892, impr. rate [%]: 22.776994
