family,p,n,instance,k,time_s,improvement_pct,moves,scans,time_per_scan_ms,avg_neighborhood_size,initial_objective,final_objective
Euclidean,1,100,18,10,0.113518,15.520844,44,45,2.503356,10014.488889,157979.666993,133459.888992
Euclidean,1,100,19,10,0.089606,5.951762,49,50,1.77506,7150.88,154106.141885,144934.111325
Euclidean,1,100,20,10,0.132328,29.336006,70,71,1.851028,7599.239437,174917.391815,123603.615286
Euclidean,1,100,1,12,0.19029,20.964959,56,57,3.323088,12237.263158,168282.257814,133001.952133
Euclidean,1,100,2,12,0.205381,20.055372,67,68,3.00575,11066.058824,158763.419155,126922.825616
Euclidean,1,100,3,12,0.262593,25.144094,76,77,3.39839,12520.467532,167657.409657,125501.473437
Euclidean,1,100,4,12,0.194261,31.165705,78,79,2.447367,9239.493671,182981.006286,125953.68655
Euclidean,1,100,5,12,0.168603,25.477344,67,68,2.465971,9477.323529,167899.854843,125123.432055
Euclidean,1,100,6,12,0.154768,24.679365,69,70,2.197243,8633.685714,153540.871522,115647.959827
Euclidean,1,100,7,12,0.191596,25.325702,68,69,2.763333,10386.956522,164251.023861,122653.298603
Euclidean,1,100,8,12,0.135884,24.379861,51,52,2.58625,9698.115385,163437.56951,123591.717311
Euclidean,1,100,9,12,0.165587,13.139025,68,69,2.387101,9122.666667,157126.232238,136481.377145
Euclidean,1,100,10,12,0.191844,16.071015,68,69,2.766058,10435.710145,154667.803552,129811.117977
Euclidean,1,100,11,12,0.166143,16.19555,65,66,2.504697,9470.606061,149039.616244,124901.831274
Euclidean,1,100,12,12,0.18172,18.952069,67,68,2.659574,10049.029412,147174.610407,119281.976009
Euclidean,1,100,13,12,0.12063,7.768415,49,50,2.39536,8941.8,154868.092891,142837.296058
Euclidean,1,100,14,12,0.181431,28.935589,64,65,2.775415,10236.276923,174702.353401,124151.197864
Euclidean,1,100,15,12,0.191214,22.400691,73,74,2.571797,9597.27027,170827.550483,132560.998516
Euclidean,1,100,16,12,0.211014,21.403749,59,60,3.5025,13081.5,174958.595358,137510.896825
Euclidean,1,100,17,12,0.160121,21.644791,44,45,3.537867,12825.377778,159291.187488,124812.942109
Euclidean,1,100,18,12,0.160495,15.520844,44,45,3.547467,13072.711111,157979.666993,133459.888992
Euclidean,1,100,19,12,0.134051,6.142283,46,47,2.830745,9785.234043,154106.141885,144640.506452
Euclidean,1,100,20,12,0.191544,29.24819,72,73,2.607164,9778.684932,174917.391815,123757.221474
Euclidean,1,100,1,20,0.398518,24.517692,89,90,4.417878,14951.044444,168282.257814,127023.332246
Euclidean,1,100,2,20,0.342215,20.055372,67,68,5.019574,16620.147059,158763.419155,126922.825616
Euclidean,1,100,3,20,0.36607,25.144094,76,77,4.742299,16379.818182,167657.409657,125501.473437
Euclidean,1,100,4,20,0.310285,30.828534,70,71,4.355944,14409.239437,182981.006286,126570.643996
Euclidean,1,100,5,20,0.282482,25.590286,70,71,3.966592,13638.732394,167899.854843,124933.802037
Euclidean,1,100,6,20,0.25586,24.679365,69,70,3.641486,12627.085714,153540.871522,115647.959827
Euclidean,1,100,7,20,0.312865,25.325702,68,69,4.520884,15206.173913,164251.023861,122653.298603
Euclidean,1,100,8,20,0.235246,24.379861,51,52,4.507538,15201.807692,163437.56951,123591.717311
Euclidean,1,100,9,20,0.306151,13.139025,68,69,4.423884,14549.217391,157126.232238,136481.377145
Euclidean,1,100,10,20,0.323235,16.071015,68,69,4.671841,15763.565217,154667.803552,129811.117977
Euclidean,1,100,11,20,0.300609,16.19555,65,66,4.541318,15046.818182,149039.616244,124901.831274
Euclidean,1,100,12,20,0.303384,18.952069,67,68,4.448691,14933.588235,147174.610407,119281.976009
Euclidean,1,100,13,20,0.309886,8.952458,62,63,4.90481,15324.349206,154868.092891,141003.591319
Euclidean,1,100,14,20,0.316658,28.935589,64,65,4.857646,16090.0,174702.353401,124151.197864
Euclidean,1,100,15,20,0.343914,22.400691,73,74,4.634973,15290.810811,170827.550483,132560.998516
Euclidean,1,100,16,20,0.291858,21.403749,59,60,4.8481,16835.033333,174958.595358,137510.896825
Euclidean,1,100,17,20,0.232702,21.644791,44,45,5.151244,17259.6,159291.187488,124812.942109
Euclidean,1,100,18,20,0.218749,15.520844,44,45,4.842289,16793.6,157979.666993,133459.888992
Euclidean,1,100,19,20,0.238671,6.142283,46,47,5.059894,16055.659574,154106.141885,144640.506452
Euclidean,1,100,20,20,0.351,29.836782,82,83,4.218651,14447.204819,174917.391815,122727.670335
Euclidean,2,100,1,1,0.002232,2.066762,31,32,0.03725,196.0,2739.032551,2682.423258
Euclidean,2,100,2,1,0.002889,1.369854,46,47,0.037447,196.0,2589.851261,2554.37408
Euclidean,2,100,3,1,0.001823,0.202718,21,22,0.036091,196.0,2758.664827,2753.072529
Euclidean,2,100,4,1,0.002714,11.461319,40,41,0.041415,196.0,3008.505676,2663.691248
Euclidean,2,100,5,1,0.003658,19.560983,60,61,0.042148,196.0,2735.449022,2200.368299
Euclidean,2,100,6,1,0.002903,13.845031,42,43,0.039767,196.0,2466.435234,2124.956514
Euclidean,2,100,7,1,0.002698,1.416693,43,44,0.038977,196.0,2721.965392,2683.403492
Euclidean,2,100,8,1,0.002961,4.298272,46,47,0.039277,196.0,2676.815977,2561.759135
Euclidean,2,100,9,1,0.002333,1.794656,33,34,0.038265,196.0,2569.515681,2523.401724
Euclidean,2,100,10,1,0.001978,0.599517,23,24,0.039625,196.0,2607.547337,2591.914653
Euclidean,2,100,11,1,0.002205,1.327123,29,30,0.0387,196.0,2424.194589,2392.022554
Euclidean,2,100,12,1,0.00299,1.275839,51,52,0.0365,196.0,2401.388421,2370.750577
Euclidean,2,100,13,1,0.002872,0.307892,49,50,0.0343,196.0,2549.266405,2541.417414
Euclidean,2,100,14,1,0.003477,18.575669,53,54,0.044722,196.0,2825.511668,2300.653962
Euclidean,2,100,15,1,0.002824,1.769208,44,45,0.036644,196.0,2809.699742,2759.990298
Euclidean,2,100,16,1,0.002337,0.945142,30,31,0.041581,196.0,2923.498994,2895.867769
Euclidean,2,100,17,1,0.002902,13.083527,40,41,0.042756,196.0,2593.73051,2254.379066
Euclidean,2,100,18,1,0.002382,0.210025,37,38,0.035553,196.0,2588.516564,2583.080045
Euclidean,2,100,19,1,0.003112,3.426236,53,54,0.036463,196.0,2524.468166,2437.973931
Euclidean,2,100,20,1,0.003166,11.679268,50,51,0.041902,196.0,2829.09946,2498.681363
Euclidean,2,100,1,2,0.007127,5.625847,70,71,0.085169,523.267606,2739.032551,2584.938773
Euclidean,2,100,2,2,0.006108,9.846465,61,62,0.081016,521.935484,2589.851261,2334.842452
Euclidean,2,100,3,2,0.003609,2.891745,30,31,0.08271,527.741935,2758.664827,2678.891271
Euclidean,2,100,4,2,0.007563,29.737757,77,78,0.082936,515.794872,3008.505676,2113.84357
Euclidean,2,100,5,2,0.006171,20.918673,61,62,0.082726,527.870968,2735.449022,2163.229384
Euclidean,2,100,6,2,0.006083,15.200745,56,57,0.086439,511.894737,2466.435234,2091.518714
Euclidean,2,100,7,2,0.006035,6.157555,59,60,0.082667,524.733333,2721.965392,2554.358888
Euclidean,2,100,8,2,0.005479,4.651819,52,53,0.082698,524.981132,2676.815977,2552.295336
Euclidean,2,100,9,2,0.0043,4.271308,38,39,0.083487,536.820513,2569.515681,2459.763758
Euclidean,2,100,10,2,0.005298,9.75619,51,52,0.081173,521.076923,2607.547337,2353.150068
Euclidean,2,100,11,2,0.006409,5.264529,64,65,0.082708,517.230769,2424.194589,2296.572159
Euclidean,2,100,12,2,0.006433,11.679695,66,67,0.080224,516.955224,2401.388421,2120.91359
Euclidean,2,100,13,2,0.006127,5.637858,62,63,0.079984,515.111111,2549.266405,2405.54239
Euclidean,2,100,14,2,0.005452,12.90615,52,53,0.082434,525.886792,2825.511668,2460.846907
Euclidean,2,100,15,2,0.005544,3.719486,52,53,0.082736,531.09434,2809.699742,2705.193352
Euclidean,2,100,16,2,0.005874,18.054794,55,56,0.085089,523.857143,2923.498994,2395.66727
Euclidean,2,100,17,2,0.005519,24.256395,55,56,0.079518,524.892857,2593.73051,1964.584991
Euclidean,2,100,18,2,0.005964,11.221649,58,59,0.082576,524.135593,2588.516564,2298.042316
Euclidean,2,100,19,2,0.005036,3.629998,50,51,0.077627,512.941176,2524.468166,2432.830011
Euclidean,2,100,20,2,0.006131,13.375853,57,58,0.086397,524.068966,2829.09946,2450.683261
Euclidean,2,100,1,3,0.011001,18.313508,64,65,0.153415,1000.153846,2739.032551,2237.419619
Euclidean,2,100,2,3,0.01024,16.311775,55,56,0.162643,1018.178571,2589.851261,2167.400548
Euclidean,2,100,3,3,0.006782,15.991724,36,37,0.155108,1012.486486,2758.664827,2317.506752
Euclidean,2,100,4,3,0.015106,33.118586,88,89,0.157483,970.606742,3008.505676,2012.131125
Euclidean,2,100,5,3,0.01152,21.933488,66,67,0.155881,996.716418,2735.449022,2135.469641
Euclidean,2,100,6,3,0.009245,18.655643,52,53,0.152226,979.735849,2466.435234,2006.305887
Euclidean,2,100,7,3,0.01124,19.910162,64,65,0.156938,1012.584615,2721.965392,2180.01766
Euclidean,2,100,8,3,0.009826,12.601784,51,52,0.167846,1013.961538,2676.815977,2339.489396
Euclidean,2,100,9,3,0.010321,10.731921,57,58,0.157586,1010.448276,2569.515681,2293.757276
Euclidean,2,100,10,3,0.009667,14.331614,53,54,0.159185,1012.962963,2607.547337,2233.843727
Euclidean,2,100,11,3,0.011412,5.248361,63,64,0.160859,988.1875,2424.194589,2296.964108
Euclidean,2,100,12,3,0.011938,13.903995,71,72,0.148306,968.361111,2401.388421,2067.499492
Euclidean,2,100,13,3,0.012571,13.994637,70,71,0.162014,967.183099,2549.266405,2192.505836
Euclidean,2,100,14,3,0.010403,22.937228,59,60,0.154217,998.833333,2825.511668,2177.417624
Euclidean,2,100,15,3,0.011442,16.147124,60,61,0.166607,1065.377049,2809.699742,2356.01403
Euclidean,2,100,16,3,0.00886,19.663219,49,50,0.15476,980.08,2923.498994,2348.644996
Euclidean,2,100,17,3,0.009951,24.397023,54,55,0.157455,994.509091,2593.73051,1960.937489
Euclidean,2,100,18,3,0.009258,14.439426,49,50,0.16404,1008.84,2588.516564,2214.749626
Euclidean,2,100,19,3,0.008782,3.627848,49,50,0.15406,970.72,2524.468166,2432.884305
Euclidean,2,100,20,3,0.013257,22.804684,74,75,0.162893,1026.613333,2829.09946,2183.932259
Euclidean,2,100,1,4,0.018371,23.159112,61,62,0.276742,1668.83871,2739.032551,2104.696929
Euclidean,2,100,2,4,0.021157,18.123565,72,73,0.275055,1639.671233,2589.851261,2120.477878
Euclidean,2,100,3,4,0.018612,23.270349,60,61,0.286295,1682.163934,2758.664827,2116.713892
Euclidean,2,100,4,4,0.019013,29.758442,64,65,0.276338,1675.753846,3008.505676,2113.221247
Euclidean,2,100,5,4,0.016992,22.005804,56,57,0.278333,1658.245614,2735.449022,2133.491468
Euclidean,2,100,6,4,0.017993,19.542362,62,63,0.265762,1603.365079,2466.435234,1984.435535
Euclidean,2,100,7,4,0.015357,21.03675,51,52,0.275827,1666.653846,2721.965392,2149.352332
Euclidean,2,100,8,4,0.015352,17.755201,54,55,0.260055,1568.472727,2676.815977,2201.541914
Euclidean,2,100,9,4,0.018061,10.391592,63,64,0.264734,1645.4375,2569.515681,2302.502098
Euclidean,2,100,10,4,0.01783,15.045183,61,62,0.270065,1647.806452,2607.547337,2215.237064
Euclidean,2,100,11,4,0.020346,5.512766,73,74,0.260689,1583.513514,2424.194589,2290.554402
Euclidean,2,100,12,4,0.01984,14.865448,69,70,0.266229,1595.142857,2401.388421,2044.411271
Euclidean,2,100,13,4,0.020061,13.970458,72,73,0.260192,1547.863014,2549.266405,2193.122212
Euclidean,2,100,14,4,0.019814,25.402036,66,67,0.279433,1617.641791,2825.511668,2107.774176
Euclidean,2,100,15,4,0.017881,16.012491,57,58,0.286086,1721.655172,2809.699742,2359.796834
Euclidean,2,100,16,4,0.015486,19.664978,51,52,0.277538,1641.153846,2923.498994,2348.59356
Euclidean,2,100,17,4,0.018672,27.871492,64,65,0.269815,1635.723077,2593.73051,1870.819107
Euclidean,2,100,18,4,0.012685,12.528401,43,44,0.263,1618.227273,2588.516564,2264.216827
Euclidean,2,100,19,4,0.017315,5.087602,59,60,0.2703,1587.933333,2524.468166,2396.033272
Euclidean,2,100,20,4,0.02061,23.950053,69,70,0.279371,1665.314286,2829.09946,2151.528641
Euclidean,2,100,1,5,0.024973,18.172097,53,54,0.441704,2455.814815,2739.032551,2241.292896
Euclidean,2,100,2,5,0.034181,18.254009,76,77,0.429013,2374.415584,2589.851261,2117.099582
Euclidean,2,100,3,5,0.031923,23.855136,66,67,0.459134,2552.0,2758.664827,2100.581568
Euclidean,2,100,4,5,0.033329,32.073025,79,80,0.4034,2253.8,3008.505676,2043.586905
Euclidean,2,100,5,5,0.027661,21.945154,60,61,0.432377,2462.065574,2735.449022,2135.150512
Euclidean,2,100,6,5,0.025256,19.573132,57,58,0.41569,2359.275862,2466.435234,1983.676598
Euclidean,2,100,7,5,0.029397,23.184032,67,68,0.416706,2337.058824,2721.965392,2090.904077
Euclidean,2,100,8,5,0.019911,20.041756,45,46,0.410413,2333.608696,2676.815977,2140.335046
Euclidean,2,100,9,5,0.031497,10.479534,68,69,0.438536,2432.57971,2569.515681,2300.2424
Euclidean,2,100,10,5,0.027872,15.688156,59,60,0.446083,2486.6,2607.547337,2198.47123
Euclidean,2,100,11,5,0.027197,12.631251,61,62,0.421645,2374.419355,2424.194589,2117.988476
Euclidean,2,100,12,5,0.033702,14.865448,69,70,0.465743,2333.257143,2401.388421,2044.411271
Euclidean,2,100,13,5,0.029572,13.905435,67,68,0.418956,2322.205882,2549.266405,2194.779825
